Feature,Description,feature_map,cnDescription,feature_type,doubt
airconditioningtypeid, Type of cooling system present in the home (if any),aircon,空调类型,id,
architecturalstyletypeid," Architectural style of the home (i.e. ranch, colonial, split-level, etc…)",architectural_style,建筑风格类型,id,
basementsqft, Finished living area below or partially below ground level,area_basement,低于地面或部分低于地面的竣工面积,float,
bathroomcnt, Number of bathrooms in home including fractional bathrooms,num_bathroom,浴室个数,int,1
bedroomcnt, Number of bedrooms in home ,num_bedroom,卧室个数,int,
buildingqualitytypeid, Overall assessment of condition of the building from best (lowest) to worst (highest),quality,建筑质量,Id,
buildingclasstypeid,"The building framing type (steel frame, wood frame, concrete/brick) ",framing,建筑框架类型,id,
calculatedbathnbr, Number of bathrooms in home including fractional bathroom,num_bathroom_calc,浴室个数,Int,1
decktypeid,Type of deck (if any) present on parcel,deck,甲板类型,id,
threequarterbathnbr,Number of 3/4 bathrooms in house (shower + sink + toilet),num_75_bath,淋雨／水槽／卫生间个数,int,
finishedfloor1squarefeet, Size of the finished living area on the first (entry) floor of the home,area_firstfloor_finished,一楼完工生活面积,float,
calculatedfinishedsquarefeet, Calculated total finished living area of the home ,area_total_calc,总完工生活面积,float,
finishedsquarefeet6,Base unfinished and finished area,area_base,地基总面积,float,
finishedsquarefeet12,Finished living area,area_live_finished,总生活面积,float,
finishedsquarefeet13,Perimeter  living area,area_liveperi_finished,周边生活面积,float,
finishedsquarefeet15,Total area,area_total_finished,总面积,float,
finishedsquarefeet50, Size of the finished living area on the first (entry) floor of the home,area_unknown,一楼完工生活面积,float,
fips, Federal Information Processing Standard code -  see https://en.wikipedia.org/wiki/FIPS_county_code for more details,fips,区域编码,id,
fireplacecnt, Number of fireplaces in a home (if any),num_fireplace,壁炉个数,int,
fireplaceflag, Is a fireplace present in this home ,flag_fireplace,是否有壁炉,flag,
fullbathcnt," Number of full bathrooms (sink, shower + bathtub, and toilet) present in home",num_bath,淋雨／水槽／卫生间／浴缸个数,int,
garagecarcnt, Total number of garages on the lot including an attached garage,num_garage,停车位个数,int,
garagetotalsqft, Total number of square feet of all garages on lot including an attached garage,area_garage,停车位面积,float,
hashottuborspa, Does the home have a hot tub or spa,flag_tub,是否有温泉,flag,
heatingorsystemtypeid, Type of home heating system,heating,供暖类型,id,
latitude,Latitude of the middle of the parcel multiplied by 10e6,latitude,纬度,float,
longitude,Longitude of the middle of the parcel multiplied by 10e6,longitude,经度,float,
lotsizesquarefeet, Area of the lot in square feet,area_lot,,float,1
numberofstories, Number of stories or levels the home has,num_story,,int,1
parcelid, Unique identifier for parcels (lots) ,parcelid,房屋id,id,
poolcnt, Number of pools on the lot (if any),num_pool,泳池个数,int,
poolsizesum, Total square footage of all pools on property,area_pool,泳池总面积,float,
pooltypeid10, Spa or Hot Tub,pooltypeid10,温泉,id,
pooltypeid2, Pool with Spa/Hot Tub,pooltypeid2,泳池带温泉,id,
pooltypeid7, Pool without hot tub,pooltypeid7,泳池不带温泉,id,
propertycountylandusecode, County land use code i.e. it's zoning at the county level,zoning_landuse_county,土地编码,text,文本
propertylandusetypeid, Type of land use the property is zoned for,zoning_landuse,土地使用类型,id,
propertyzoningdesc, Description of the allowed land uses (zoning) for that property,zoning_property,土地使用描述,text,文本
rawcensustractandblock, Census tract and block ID combined - also contains blockgroup assignment by extension,rawcensustractandblock,未加工人口普查,id,1
censustractandblock, Census tract and block ID combined - also contains blockgroup assignment by extension,censustractandblock,人口普查,id,1
regionidcounty,County in which the property is located,region_county,房屋所属区域,id,
regionidcity, City in which the property is located (if any),region_city,房屋所属城市,id,
regionidzip, Zip code in which the property is located,region_zip,房屋坐落zip,id,
regionidneighborhood,Neighborhood in which the property is located,region_neighbor,房屋坐落临域,id,
roomcnt, Total number of rooms in the principal residence,num_room,房间个数,int,
storytypeid," Type of floors in a multi-story house (i.e. basement and main level, split-level, attic, etc.).  See tab for details.",story,多层住宅的楼梯类型,id,
typeconstructiontypeid, What type of construction material was used to construct the home,material,建筑材料,id,
unitcnt,"Number of units the structure is built into (i.e. 2 = duplex, 3 = triplex, etc...)",num_unit,单元个数,int,
yardbuildingsqft17,Patio in  yard,area_patio,院子面积,float,
yardbuildingsqft26,Storage shed/building in yard,area_shed,仓库面积,float,
yearbuilt, The Year the principal residence was built ,build_year,建筑年份,int,
taxvaluedollarcnt,The total tax assessed value of the parcel,tax_total,征税评估价格,float,
structuretaxvaluedollarcnt,The assessed value of the built structure on the parcel,tax_building,征税建筑结构评估价格,float,
landtaxvaluedollarcnt,The assessed value of the land area of the parcel,tax_land,征税建筑用地评估价格,float,
taxamount,The total property tax assessed for that assessment year,tax_property,征税物业价格,float,
assessmentyear,The year of the property tax assessment ,tax_year,征税年份评估,int,
taxdelinquencyflag,Property taxes for this parcel are past due as of 2015,tax_delinquency,征税是否15年到期,flag,
taxdelinquencyyear,Year for which the unpaid propert taxes were due ,tax_delinquency_year,征税年份？？。。,int,
